statement,label
"If A is true and M is false, then A NAND M is true",1
"If W is true and E is false, then W NAND E is true",1
"If Q is false and M is false, then Q NAND M is true",1
"If X is true and V is true, then X NAND V is true",0
"If K is true and A is true, then K NAND A is true",0
"If F is false and P is false, then F NAND P is true",1
"If C is true and A is false, then C NAND A is true",1
"If S is true and G is false, then S NAND G is true",1
"If V is true and B is true, then V NAND B is true",0
"If Q is true and Z is false, then Q NAND Z is true",1
"If S is false and E is false, then S NAND E is true",1
"If M is true and Y is false, then M NAND Y is true",1
"If I is false and X is false, then I NAND X is true",1
"If S is true and E is true, then S NAND E is true",0
"If J is false and M is true, then J NAND M is true",1
"If H is false and Z is true, then H NAND Z is true",1
"If Y is true and B is false, then Y NAND B is true",1
"If N is false and Q is false, then N NAND Q is true",1
"If Q is false and K is false, then Q NAND K is true",1
"If K is false and M is true, then K NAND M is true",1
"If K is true and Q is false, then K NAND Q is true",1
"If S is false and B is false, then S NAND B is true",1
"If P is false and S is true, then P NAND S is true",1
"If P is true and M is false, then P NAND M is true",1
"If C is false and D is false, then C NAND D is true",1
"If N is false and Z is false, then N NAND Z is true",1
"If G is false and V is true, then G NAND V is true",1
"If A is true and U is false, then A NAND U is true",1
"If V is true and K is false, then V NAND K is true",1
"If N is true and B is false, then N NAND B is true",1
"If B is false and E is true, then B NAND E is true",1
"If M is false and O is true, then M NAND O is true",1
"If R is true and C is true, then R NAND C is true",0
"If M is true and I is true, then M NAND I is true",0
"If G is false and N is true, then G NAND N is true",1
"If J is false and W is false, then J NAND W is true",1
"If X is false and Q is true, then X NAND Q is true",1
"If I is false and E is false, then I NAND E is true",1
"If I is true and Q is false, then I NAND Q is true",1
"If M is false and U is false, then M NAND U is true",1
"If Y is false and S is false, then Y NAND S is true",1
"If P is true and W is false, then P NAND W is true",1
"If K is true and F is false, then K NAND F is true",1
"If K is true and A is false, then K NAND A is true",1
"If M is false and E is false, then M NAND E is true",1
"If O is false and F is true, then O NAND F is true",1
"If J is false and E is true, then J NAND E is true",1
"If A is true and N is true, then A NAND N is true",0
"If H is true and T is false, then H NAND T is true",1
"If D is true and G is true, then D NAND G is true",0
"If X is false and N is false, then X NAND N is true",1
"If Y is false and E is false, then Y NAND E is true",1
"If P is true and O is false, then P NAND O is true",1
"If E is false and N is true, then E NAND N is true",1
"If C is true and F is true, then C NAND F is true",0
"If H is true and D is true, then H NAND D is true",0
"If L is true and M is true, then L NAND M is true",0
"If M is true and L is true, then M NAND L is true",0
"If F is false and Z is false, then F NAND Z is true",1
"If H is false and G is false, then H NAND G is true",1
"If S is false and X is false, then S NAND X is true",1
"If X is false and Z is false, then X NAND Z is true",1
"If F is true and N is false, then F NAND N is true",1
"If W is true and T is false, then W NAND T is true",1
"If S is false and W is true, then S NAND W is true",1
"If R is true and W is false, then R NAND W is true",1
"If H is false and Q is false, then H NAND Q is true",1
"If K is false and E is false, then K NAND E is true",1
"If W is false and M is false, then W NAND M is true",1
"If U is false and A is false, then U NAND A is true",1
"If K is false and Y is true, then K NAND Y is true",1
"If U is false and W is true, then U NAND W is true",1
"If X is true and O is false, then X NAND O is true",1
"If N is false and T is false, then N NAND T is true",1
"If S is true and T is true, then S NAND T is true",0
"If D is false and T is true, then D NAND T is true",1
"If I is true and P is false, then I NAND P is true",1
"If L is false and S is true, then L NAND S is true",1
"If Z is false and E is false, then Z NAND E is true",1
"If L is true and K is false, then L NAND K is true",1
"If J is false and T is false, then J NAND T is true",1
"If B is false and T is false, then B NAND T is true",1
"If L is false and X is true, then L NAND X is true",1
"If Z is true and Y is false, then Z NAND Y is true",1
"If K is false and M is false, then K NAND M is true",1
"If Y is true and C is false, then Y NAND C is true",1
"If L is true and F is true, then L NAND F is true",0
"If E is true and K is false, then E NAND K is true",1
"If T is true and B is true, then T NAND B is true",0
"If D is true and F is false, then D NAND F is true",1
"If L is false and C is false, then L NAND C is true",1
"If G is true and L is true, then G NAND L is true",0
"If C is true and L is false, then C NAND L is true",1
"If L is true and D is true, then L NAND D is true",0
"If D is false and H is false, then D NAND H is true",1
"If N is true and K is false, then N NAND K is true",1
"If H is false and Y is true, then H NAND Y is true",1
"If X is false and D is false, then X NAND D is true",1
"If I is false and U is false, then I NAND U is true",1
"If O is true and M is true, then O NAND M is true",0
"If C is false and L is false, then C NAND L is true",1
"If P is false and U is true, then P NAND U is true",1
"If S is true and C is true, then S NAND C is true",0
"If H is false and A is false, then H NAND A is true",1
"If G is false and I is true, then G NAND I is true",1
"If D is true and O is false, then D NAND O is true",1
"If L is true and X is true, then L NAND X is true",0
"If M is true and F is true, then M NAND F is true",0
"If H is false and G is false, then H NAND G is true",1
"If Y is true and A is true, then Y NAND A is true",0
"If E is false and L is true, then E NAND L is true",1
"If J is false and U is true, then J NAND U is true",1
"If K is true and M is true, then K NAND M is true",0
"If H is false and X is false, then H NAND X is true",1
