statement,label
"If Z is false and S is true, then Z XOR S is true",1
"If R is false and M is false, then R XOR M is true",0
"If S is true and B is true, then S XOR B is true",0
"If H is false and P is true, then H XOR P is true",1
"If R is false and W is true, then R XOR W is true",1
"If Z is true and I is false, then Z XOR I is true",1
"If E is false and V is false, then E XOR V is true",0
"If K is true and S is true, then K XOR S is true",0
"If E is false and W is false, then E XOR W is true",0
"If N is true and V is true, then N XOR V is true",0
"If C is true and V is false, then C XOR V is true",1
"If L is true and O is true, then L XOR O is true",0
"If D is false and Q is true, then D XOR Q is true",1
"If T is true and P is true, then T XOR P is true",0
"If F is true and N is false, then F XOR N is true",1
"If T is false and B is false, then T XOR B is true",0
"If V is false and N is false, then V XOR N is true",0
"If C is false and S is true, then C XOR S is true",1
"If Y is false and D is false, then Y XOR D is true",0
"If Y is false and U is true, then Y XOR U is true",1
"If U is true and J is false, then U XOR J is true",1
"If J is true and U is false, then J XOR U is true",1
"If Y is false and R is false, then Y XOR R is true",0
"If P is true and M is false, then P XOR M is true",1
"If U is true and C is true, then U XOR C is true",0
"If M is false and H is false, then M XOR H is true",0
"If J is false and D is true, then J XOR D is true",1
"If Y is false and P is true, then Y XOR P is true",1
"If D is false and F is true, then D XOR F is true",1
"If K is true and B is false, then K XOR B is true",1
"If E is true and D is true, then E XOR D is true",0
"If B is true and T is true, then B XOR T is true",0
"If D is true and O is true, then D XOR O is true",0
"If M is false and F is true, then M XOR F is true",1
"If P is false and M is false, then P XOR M is true",0
"If C is false and I is true, then C XOR I is true",1
"If W is false and X is true, then W XOR X is true",1
"If W is true and J is false, then W XOR J is true",1
"If F is true and G is false, then F XOR G is true",1
"If W is true and U is false, then W XOR U is true",1
"If I is false and T is true, then I XOR T is true",1
"If T is false and V is true, then T XOR V is true",1
"If K is true and S is true, then K XOR S is true",0
"If P is false and Y is false, then P XOR Y is true",0
"If V is false and M is true, then V XOR M is true",1
"If H is false and U is true, then H XOR U is true",1
"If X is false and W is true, then X XOR W is true",1
"If N is false and Q is true, then N XOR Q is true",1
"If N is true and U is true, then N XOR U is true",0
"If L is false and N is false, then L XOR N is true",0
"If X is false and H is false, then X XOR H is true",0
"If P is true and S is false, then P XOR S is true",1
"If R is true and Y is true, then R XOR Y is true",0
"If Z is true and K is false, then Z XOR K is true",1
"If Y is false and I is false, then Y XOR I is true",0
"If B is false and V is true, then B XOR V is true",1
"If A is false and T is true, then A XOR T is true",1
"If O is true and R is true, then O XOR R is true",0
"If E is true and W is false, then E XOR W is true",1
"If I is false and C is true, then I XOR C is true",1
"If P is true and V is true, then P XOR V is true",0
"If T is false and J is false, then T XOR J is true",0
"If W is true and L is true, then W XOR L is true",0
"If M is true and O is true, then M XOR O is true",0
"If T is false and G is true, then T XOR G is true",1
"If P is true and B is false, then P XOR B is true",1
"If A is true and G is false, then A XOR G is true",1
"If C is false and V is false, then C XOR V is true",0
"If I is true and S is true, then I XOR S is true",0
"If U is false and T is false, then U XOR T is true",0
"If B is false and I is false, then B XOR I is true",0
"If C is true and Q is true, then C XOR Q is true",0
"If V is false and Z is false, then V XOR Z is true",0
"If A is true and D is false, then A XOR D is true",1
"If G is false and N is false, then G XOR N is true",0
"If A is false and C is true, then A XOR C is true",1
"If C is false and L is true, then C XOR L is true",1
"If U is false and R is false, then U XOR R is true",0
"If H is true and N is true, then H XOR N is true",0
"If B is true and W is true, then B XOR W is true",0
"If J is false and S is true, then J XOR S is true",1
"If T is true and M is false, then T XOR M is true",1
"If W is false and L is true, then W XOR L is true",1
"If J is false and A is true, then J XOR A is true",1
"If X is false and Y is true, then X XOR Y is true",1
"If V is false and O is true, then V XOR O is true",1
"If I is false and K is true, then I XOR K is true",1
"If T is false and J is false, then T XOR J is true",0
"If U is false and Z is true, then U XOR Z is true",1
"If L is false and U is true, then L XOR U is true",1
"If J is false and D is true, then J XOR D is true",1
"If O is true and L is false, then O XOR L is true",1
"If I is false and D is true, then I XOR D is true",1
"If Z is false and N is false, then Z XOR N is true",0
"If A is true and D is false, then A XOR D is true",1
"If V is true and U is true, then V XOR U is true",0
"If U is false and A is false, then U XOR A is true",0
"If G is true and R is true, then G XOR R is true",0
"If I is true and X is true, then I XOR X is true",0
"If R is false and U is false, then R XOR U is true",0
"If P is false and C is true, then P XOR C is true",1
"If J is true and D is true, then J XOR D is true",0
"If V is false and C is false, then V XOR C is true",0
"If B is false and I is true, then B XOR I is true",1
"If T is true and S is true, then T XOR S is true",0
"If J is true and V is true, then J XOR V is true",0
"If Z is true and X is false, then Z XOR X is true",1
"If D is false and S is true, then D XOR S is true",1
"If C is true and Z is false, then C XOR Z is true",1
"If S is false and V is true, then S XOR V is true",1
"If R is true and L is false, then R XOR L is true",1
"If L is false and F is false, then L XOR F is true",0
"If W is true and F is false, then W XOR F is true",1
"If M is true and P is false, then M XOR P is true",1
"If H is false and L is false, then H XOR L is true",0
"If H is true and Y is true, then H XOR Y is true",0
"If S is true and W is true, then S XOR W is true",0
"If D is true and L is false, then D XOR L is true",1
"If R is false and T is false, then R XOR T is true",0
"If L is true and N is false, then L XOR N is true",1
"If J is false and P is true, then J XOR P is true",1
"If P is false and Z is true, then P XOR Z is true",1
"If K is true and T is true, then K XOR T is true",0
"If M is true and P is false, then M XOR P is true",1
"If D is false and H is false, then D XOR H is true",0
"If D is false and V is false, then D XOR V is true",0
"If X is false and P is false, then X XOR P is true",0
"If K is false and D is true, then K XOR D is true",1
"If P is false and I is false, then P XOR I is true",0
"If X is true and V is true, then X XOR V is true",0
"If F is false and O is true, then F XOR O is true",1
"If O is true and T is true, then O XOR T is true",0
"If Q is false and F is true, then Q XOR F is true",1
"If J is true and O is true, then J XOR O is true",0
"If K is true and J is false, then K XOR J is true",1
"If C is true and W is false, then C XOR W is true",1
"If C is true and I is true, then C XOR I is true",0
"If N is false and K is true, then N XOR K is true",1
"If D is true and S is true, then D XOR S is true",0
"If F is true and Q is true, then F XOR Q is true",0
"If R is true and Z is false, then R XOR Z is true",1
"If H is false and A is false, then H XOR A is true",0
"If L is false and O is false, then L XOR O is true",0
"If S is false and L is true, then S XOR L is true",1
"If T is true and Z is false, then T XOR Z is true",1
"If J is false and T is true, then J XOR T is true",1
"If W is false and C is false, then W XOR C is true",0
"If H is false and Z is false, then H XOR Z is true",0
"If G is false and F is true, then G XOR F is true",1
"If Z is false and F is true, then Z XOR F is true",1
"If H is true and B is false, then H XOR B is true",1
"If H is true and O is true, then H XOR O is true",0
"If G is true and U is true, then G XOR U is true",0
"If W is true and N is true, then W XOR N is true",0
"If R is false and T is false, then R XOR T is true",0
"If D is true and Z is false, then D XOR Z is true",1
"If B is false and Q is false, then B XOR Q is true",0
"If J is false and U is false, then J XOR U is true",0
"If V is true and H is true, then V XOR H is true",0
"If Z is true and E is true, then Z XOR E is true",0
"If F is true and T is true, then F XOR T is true",0
"If W is false and Y is true, then W XOR Y is true",1
"If J is false and U is false, then J XOR U is true",0
"If B is false and M is false, then B XOR M is true",0
"If X is false and F is true, then X XOR F is true",1
"If Z is false and U is true, then Z XOR U is true",1
"If Q is true and I is true, then Q XOR I is true",0
"If J is false and R is false, then J XOR R is true",0
"If H is false and S is true, then H XOR S is true",1
"If G is true and J is true, then G XOR J is true",0
"If Q is true and U is false, then Q XOR U is true",1
"If N is false and I is true, then N XOR I is true",1
"If W is true and J is false, then W XOR J is true",1
"If A is false and G is true, then A XOR G is true",1
"If D is false and R is true, then D XOR R is true",1
"If J is false and E is true, then J XOR E is true",1
"If D is true and W is false, then D XOR W is true",1
"If T is true and B is false, then T XOR B is true",1
"If T is false and K is true, then T XOR K is true",1
"If U is false and Z is false, then U XOR Z is true",0
"If J is false and G is false, then J XOR G is true",0
"If Y is false and S is false, then Y XOR S is true",0
"If R is true and P is false, then R XOR P is true",1
"If R is false and A is true, then R XOR A is true",1
"If F is false and H is true, then F XOR H is true",1
"If J is true and S is false, then J XOR S is true",1
"If N is false and Z is true, then N XOR Z is true",1
"If Q is false and A is true, then Q XOR A is true",1
"If W is true and X is false, then W XOR X is true",1
"If L is true and A is false, then L XOR A is true",1
"If B is true and R is false, then B XOR R is true",1
"If V is true and O is false, then V XOR O is true",1
"If S is false and L is true, then S XOR L is true",1
"If N is true and H is true, then N XOR H is true",0
"If P is false and I is true, then P XOR I is true",1
"If H is true and E is true, then H XOR E is true",0
"If G is true and T is false, then G XOR T is true",1
"If S is true and K is true, then S XOR K is true",0
"If X is true and S is true, then X XOR S is true",0
"If E is false and I is true, then E XOR I is true",1
"If Q is true and J is true, then Q XOR J is true",0
"If Y is false and B is true, then Y XOR B is true",1
"If E is true and A is false, then E XOR A is true",1
"If V is true and O is false, then V XOR O is true",1
"If P is false and K is true, then P XOR K is true",1
"If T is false and K is false, then T XOR K is true",0
"If N is true and J is true, then N XOR J is true",0
"If I is true and Z is true, then I XOR Z is true",0
"If G is false and A is true, then G XOR A is true",1
"If E is false and G is true, then E XOR G is true",1
"If H is true and D is true, then H XOR D is true",0
"If L is false and V is false, then L XOR V is true",0
"If D is false and H is false, then D XOR H is true",0
"If J is false and M is false, then J XOR M is true",0
"If Q is false and N is true, then Q XOR N is true",1
"If J is true and U is true, then J XOR U is true",0
"If L is false and D is true, then L XOR D is true",1
"If W is true and R is false, then W XOR R is true",1
"If Q is true and J is false, then Q XOR J is true",1
"If O is false and M is true, then O XOR M is true",1
"If Y is true and D is true, then Y XOR D is true",0
"If L is false and J is true, then L XOR J is true",1
"If Y is false and C is true, then Y XOR C is true",1
"If U is true and M is false, then U XOR M is true",1
"If T is false and C is true, then T XOR C is true",1
"If N is true and K is false, then N XOR K is true",1
"If F is true and R is true, then F XOR R is true",0
"If Q is true and V is false, then Q XOR V is true",1
"If O is false and F is false, then O XOR F is true",0
"If C is true and M is true, then C XOR M is true",0
"If V is true and K is true, then V XOR K is true",0
"If U is true and H is true, then U XOR H is true",0
"If S is true and F is true, then S XOR F is true",0
"If Z is true and G is true, then Z XOR G is true",0
"If T is true and Q is true, then T XOR Q is true",0
"If F is true and E is true, then F XOR E is true",0
"If D is false and Q is false, then D XOR Q is true",0
"If O is false and F is false, then O XOR F is true",0
"If V is true and P is false, then V XOR P is true",1
"If I is true and C is true, then I XOR C is true",0
"If M is true and F is true, then M XOR F is true",0
"If Z is true and X is false, then Z XOR X is true",1
"If C is true and Y is true, then C XOR Y is true",0
"If F is false and O is false, then F XOR O is true",0
