statement,label
"If Y is false and S is true, then Y if and only if S is true",0
"If S is true and T is false, then S if and only if T is true",0
"If L is false and I is false, then L if and only if I is true",1
"If I is false and Z is false, then I if and only if Z is true",1
"If U is true and Q is false, then U if and only if Q is true",0
"If V is true and X is false, then V if and only if X is true",0
"If D is true and M is false, then D if and only if M is true",0
"If Z is true and U is true, then Z if and only if U is true",1
"If G is true and J is true, then G if and only if J is true",1
"If R is true and P is true, then R if and only if P is true",1
"If K is true and Y is false, then K if and only if Y is true",0
"If N is true and C is true, then N if and only if C is true",1
"If M is true and T is false, then M if and only if T is true",0
"If Z is true and W is true, then Z if and only if W is true",1
"If Y is false and D is true, then Y if and only if D is true",0
"If R is false and O is true, then R if and only if O is true",0
"If E is false and C is false, then E if and only if C is true",1
"If D is false and L is false, then D if and only if L is true",1
"If S is true and Z is false, then S if and only if Z is true",0
"If U is false and O is false, then U if and only if O is true",1
"If U is true and B is false, then U if and only if B is true",0
"If U is false and W is true, then U if and only if W is true",0
"If S is false and E is true, then S if and only if E is true",0
"If M is false and Z is false, then M if and only if Z is true",1
"If Z is false and Y is false, then Z if and only if Y is true",1
"If A is true and P is false, then A if and only if P is true",0
"If O is false and R is false, then O if and only if R is true",1
"If W is true and K is true, then W if and only if K is true",1
"If V is true and F is true, then V if and only if F is true",1
"If J is true and I is false, then J if and only if I is true",0
"If G is false and X is false, then G if and only if X is true",1
"If U is false and K is true, then U if and only if K is true",0
"If U is false and C is true, then U if and only if C is true",0
"If K is true and L is false, then K if and only if L is true",0
"If T is false and S is true, then T if and only if S is true",0
"If V is true and O is false, then V if and only if O is true",0
"If M is false and H is false, then M if and only if H is true",1
"If S is true and U is false, then S if and only if U is true",0
"If M is false and A is true, then M if and only if A is true",0
"If M is true and I is true, then M if and only if I is true",1
"If K is true and D is false, then K if and only if D is true",0
"If Q is false and O is true, then Q if and only if O is true",0
"If B is true and J is true, then B if and only if J is true",1
"If M is true and L is true, then M if and only if L is true",1
"If W is true and Z is true, then W if and only if Z is true",1
"If S is false and L is false, then S if and only if L is true",1
"If H is false and F is false, then H if and only if F is true",1
"If O is false and G is false, then O if and only if G is true",1
"If A is true and Q is false, then A if and only if Q is true",0
"If Y is true and K is false, then Y if and only if K is true",0
"If B is false and Z is false, then B if and only if Z is true",1
"If C is true and S is false, then C if and only if S is true",0
"If N is true and V is true, then N if and only if V is true",1
"If T is false and P is false, then T if and only if P is true",1
"If L is false and P is false, then L if and only if P is true",1
"If G is true and U is false, then G if and only if U is true",0
"If F is false and W is false, then F if and only if W is true",1
"If T is false and O is false, then T if and only if O is true",1
"If H is false and Z is true, then H if and only if Z is true",0
"If E is false and C is true, then E if and only if C is true",0
"If B is false and Y is true, then B if and only if Y is true",0
"If L is false and Y is false, then L if and only if Y is true",1
"If F is true and D is false, then F if and only if D is true",0
"If K is true and M is false, then K if and only if M is true",0
"If L is true and A is false, then L if and only if A is true",0
"If M is true and C is false, then M if and only if C is true",0
"If W is false and I is false, then W if and only if I is true",1
"If K is true and V is false, then K if and only if V is true",0
"If U is true and J is true, then U if and only if J is true",1
"If H is false and J is true, then H if and only if J is true",0
"If S is true and Y is false, then S if and only if Y is true",0
"If E is true and B is true, then E if and only if B is true",1
"If L is true and I is true, then L if and only if I is true",1
"If T is true and S is false, then T if and only if S is true",0
"If X is false and A is true, then X if and only if A is true",0
"If G is false and C is true, then G if and only if C is true",0
"If W is false and A is true, then W if and only if A is true",0
"If X is false and J is true, then X if and only if J is true",0
"If Z is false and V is false, then Z if and only if V is true",1
"If M is false and V is true, then M if and only if V is true",0
"If C is false and H is true, then C if and only if H is true",0
"If A is false and D is true, then A if and only if D is true",0
"If V is true and J is true, then V if and only if J is true",1
"If P is true and R is true, then P if and only if R is true",1
"If L is true and B is true, then L if and only if B is true",1
"If X is false and O is true, then X if and only if O is true",0
"If O is false and S is false, then O if and only if S is true",1
"If T is false and W is true, then T if and only if W is true",0
"If F is true and U is true, then F if and only if U is true",1
"If Z is false and D is true, then Z if and only if D is true",0
"If U is true and Y is false, then U if and only if Y is true",0
"If S is true and R is true, then S if and only if R is true",1
"If J is true and P is true, then J if and only if P is true",1
"If N is true and L is false, then N if and only if L is true",0
"If K is true and R is true, then K if and only if R is true",1
"If A is false and V is true, then A if and only if V is true",0
"If E is true and P is true, then E if and only if P is true",1
"If J is true and Z is true, then J if and only if Z is true",1
"If O is true and Z is false, then O if and only if Z is true",0
"If L is true and T is true, then L if and only if T is true",1
"If Q is false and N is true, then Q if and only if N is true",0
"If G is true and A is false, then G if and only if A is true",0
"If W is true and S is true, then W if and only if S is true",1
"If E is true and V is true, then E if and only if V is true",1
"If G is true and F is true, then G if and only if F is true",1
"If M is true and J is false, then M if and only if J is true",0
"If J is false and G is true, then J if and only if G is true",0
"If A is true and D is true, then A if and only if D is true",1
"If G is true and E is false, then G if and only if E is true",0
"If U is true and R is false, then U if and only if R is true",0
"If D is true and C is true, then D if and only if C is true",1
"If F is true and H is false, then F if and only if H is true",0
"If L is false and B is true, then L if and only if B is true",0
"If Y is false and X is false, then Y if and only if X is true",1
"If B is true and N is true, then B if and only if N is true",1
"If K is false and C is true, then K if and only if C is true",0
"If E is false and U is false, then E if and only if U is true",1
"If N is false and C is false, then N if and only if C is true",1
"If N is true and C is false, then N if and only if C is true",0
"If U is true and R is false, then U if and only if R is true",0
"If F is false and K is false, then F if and only if K is true",1
"If V is false and C is false, then V if and only if C is true",1
"If F is true and E is false, then F if and only if E is true",0
"If V is true and B is false, then V if and only if B is true",0
"If X is false and D is true, then X if and only if D is true",0
"If J is true and K is false, then J if and only if K is true",0
"If U is true and X is false, then U if and only if X is true",0
"If G is true and V is true, then G if and only if V is true",1
"If F is false and R is true, then F if and only if R is true",0
"If U is true and P is true, then U if and only if P is true",1
"If G is false and W is false, then G if and only if W is true",1
"If R is true and A is true, then R if and only if A is true",1
"If S is true and H is true, then S if and only if H is true",1
"If L is true and T is false, then L if and only if T is true",0
"If A is true and Q is true, then A if and only if Q is true",1
"If H is true and D is true, then H if and only if D is true",1
"If A is true and S is true, then A if and only if S is true",1
"If T is true and M is false, then T if and only if M is true",0
"If T is false and K is true, then T if and only if K is true",0
"If K is false and G is false, then K if and only if G is true",1
"If I is true and R is false, then I if and only if R is true",0
"If U is true and S is true, then U if and only if S is true",1
"If P is false and M is true, then P if and only if M is true",0
"If R is true and O is true, then R if and only if O is true",1
"If G is false and V is false, then G if and only if V is true",1
