statement,label
"If J is false and Z is true, then J or Z is true",1
"If Q is true and J is false, then Q or J is true",1
"If Y is true and H is true, then Y or H is true",1
"If V is false and D is false, then V or D is true",0
"If D is true and V is false, then D or V is true",1
"If M is false and L is false, then M or L is true",0
"If J is true and C is false, then J or C is true",1
"If U is true and K is false, then U or K is true",1
"If E is true and X is false, then E or X is true",1
"If Y is false and N is false, then Y or N is true",0
"If O is true and D is true, then O or D is true",1
"If H is false and E is true, then H or E is true",1
"If J is false and N is true, then J or N is true",1
"If V is false and E is false, then V or E is true",0
"If E is true and D is false, then E or D is true",1
"If Z is true and O is false, then Z or O is true",1
"If P is true and U is true, then P or U is true",1
"If B is true and Q is false, then B or Q is true",1
"If J is false and Q is true, then J or Q is true",1
"If V is false and X is false, then V or X is true",0
"If A is false and L is true, then A or L is true",1
"If R is true and C is true, then R or C is true",1
"If I is false and H is true, then I or H is true",1
"If I is false and Z is true, then I or Z is true",1
"If K is false and Q is false, then K or Q is true",0
"If V is false and I is true, then V or I is true",1
"If J is false and L is false, then J or L is true",0
"If R is false and L is false, then R or L is true",0
"If G is false and C is false, then G or C is true",0
"If C is true and J is false, then C or J is true",1
"If K is false and U is false, then K or U is true",0
"If K is true and B is false, then K or B is true",1
"If Y is true and L is true, then Y or L is true",1
"If D is false and C is true, then D or C is true",1
"If N is true and E is false, then N or E is true",1
"If Q is true and E is true, then Q or E is true",1
"If U is false and Y is false, then U or Y is true",0
"If J is false and L is true, then J or L is true",1
"If E is true and A is true, then E or A is true",1
"If A is true and S is false, then A or S is true",1
"If J is false and O is false, then J or O is true",0
"If W is false and D is false, then W or D is true",0
"If W is false and N is true, then W or N is true",1
"If P is true and W is true, then P or W is true",1
"If N is true and P is true, then N or P is true",1
"If D is false and G is true, then D or G is true",1
"If H is false and O is false, then H or O is true",0
"If B is false and E is false, then B or E is true",0
"If J is true and C is false, then J or C is true",1
"If Z is true and O is true, then Z or O is true",1
"If Q is false and C is true, then Q or C is true",1
"If D is true and I is false, then D or I is true",1
"If Z is false and B is true, then Z or B is true",1
"If J is true and G is false, then J or G is true",1
"If D is true and Y is true, then D or Y is true",1
"If G is true and Y is false, then G or Y is true",1
"If U is false and K is false, then U or K is true",0
"If K is false and R is true, then K or R is true",1
"If I is false and S is false, then I or S is true",0
"If Q is false and N is true, then Q or N is true",1
"If W is true and E is false, then W or E is true",1
"If I is true and Q is true, then I or Q is true",1
"If S is false and G is false, then S or G is true",0
"If O is false and N is true, then O or N is true",1
"If J is false and P is false, then J or P is true",0
"If R is true and T is true, then R or T is true",1
"If A is true and O is true, then A or O is true",1
"If W is true and G is true, then W or G is true",1
"If V is false and M is true, then V or M is true",1
"If T is true and N is false, then T or N is true",1
"If S is false and K is true, then S or K is true",1
"If U is true and P is false, then U or P is true",1
"If U is true and Z is true, then U or Z is true",1
"If N is true and L is false, then N or L is true",1
"If C is false and V is true, then C or V is true",1
"If F is false and O is true, then F or O is true",1
"If I is true and F is false, then I or F is true",1
"If Y is false and H is false, then Y or H is true",0
"If W is false and T is false, then W or T is true",0
"If L is false and O is false, then L or O is true",0
"If Q is false and M is false, then Q or M is true",0
"If G is false and S is false, then G or S is true",0
"If S is true and H is true, then S or H is true",1
"If B is false and J is false, then B or J is true",0
"If M is false and W is true, then M or W is true",1
"If D is false and W is false, then D or W is true",0
"If N is true and O is true, then N or O is true",1
"If D is true and Y is true, then D or Y is true",1
"If S is true and I is false, then S or I is true",1
"If F is false and H is false, then F or H is true",0
"If S is false and C is true, then S or C is true",1
"If O is true and R is true, then O or R is true",1
"If U is false and C is true, then U or C is true",1
"If N is false and C is true, then N or C is true",1
"If H is true and S is true, then H or S is true",1
"If X is false and U is false, then X or U is true",0
"If H is false and A is false, then H or A is true",0
"If L is true and T is true, then L or T is true",1
"If W is true and T is false, then W or T is true",1
"If J is false and H is true, then J or H is true",1
"If T is false and H is false, then T or H is true",0
"If Z is false and T is false, then Z or T is true",0
"If X is false and Q is true, then X or Q is true",1
"If Q is false and P is true, then Q or P is true",1
"If S is false and X is false, then S or X is true",0
"If G is true and S is true, then G or S is true",1
"If X is false and H is true, then X or H is true",1
"If A is false and Z is false, then A or Z is true",0
"If A is true and S is false, then A or S is true",1
"If F is false and J is true, then F or J is true",1
