statement,label
"If L is false and M is false, then L NOR M is true",1
"If F is true and O is false, then F NOR O is true",0
"If R is false and P is false, then R NOR P is true",1
"If L is true and U is false, then L NOR U is true",0
"If C is true and K is true, then C NOR K is true",0
"If P is false and T is false, then P NOR T is true",1
"If B is false and F is true, then B NOR F is true",0
"If R is true and E is true, then R NOR E is true",0
"If F is true and G is true, then F NOR G is true",0
"If N is true and C is false, then N NOR C is true",0
"If H is true and X is false, then H NOR X is true",0
"If I is false and R is false, then I NOR R is true",1
"If E is true and B is false, then E NOR B is true",0
"If F is true and S is true, then F NOR S is true",0
"If K is true and E is false, then K NOR E is true",0
"If B is true and K is false, then B NOR K is true",0
"If B is false and H is false, then B NOR H is true",1
"If V is false and B is false, then V NOR B is true",1
"If J is true and Q is true, then J NOR Q is true",0
"If A is false and M is false, then A NOR M is true",1
"If S is true and X is true, then S NOR X is true",0
"If I is true and W is false, then I NOR W is true",0
"If L is false and X is true, then L NOR X is true",0
"If E is true and X is false, then E NOR X is true",0
"If O is true and E is false, then O NOR E is true",0
"If Y is false and M is false, then Y NOR M is true",1
"If S is true and F is false, then S NOR F is true",0
"If A is false and I is false, then A NOR I is true",1
"If S is false and A is true, then S NOR A is true",0
"If B is false and O is true, then B NOR O is true",0
"If M is false and L is true, then M NOR L is true",0
"If B is true and A is false, then B NOR A is true",0
"If Q is true and B is true, then Q NOR B is true",0
"If K is true and P is false, then K NOR P is true",0
"If Z is false and V is true, then Z NOR V is true",0
"If N is false and O is false, then N NOR O is true",1
"If Q is false and U is false, then Q NOR U is true",1
"If X is false and O is false, then X NOR O is true",1
"If S is false and I is true, then S NOR I is true",0
"If E is false and N is true, then E NOR N is true",0
"If B is false and T is false, then B NOR T is true",1
"If I is false and D is true, then I NOR D is true",0
"If P is true and O is false, then P NOR O is true",0
"If A is false and V is false, then A NOR V is true",1
"If Q is false and U is false, then Q NOR U is true",1
"If W is false and T is true, then W NOR T is true",0
"If F is false and B is false, then F NOR B is true",1
"If K is true and J is false, then K NOR J is true",0
"If L is false and O is true, then L NOR O is true",0
"If S is false and I is false, then S NOR I is true",1
"If E is true and U is true, then E NOR U is true",0
"If N is true and J is true, then N NOR J is true",0
"If Z is true and J is false, then Z NOR J is true",0
"If G is false and H is false, then G NOR H is true",1
"If Y is true and S is false, then Y NOR S is true",0
"If U is false and Q is false, then U NOR Q is true",1
"If P is false and S is false, then P NOR S is true",1
"If V is false and K is false, then V NOR K is true",1
"If R is true and S is true, then R NOR S is true",0
"If S is false and G is true, then S NOR G is true",0
"If V is false and Y is false, then V NOR Y is true",1
"If M is false and J is true, then M NOR J is true",0
"If M is true and G is false, then M NOR G is true",0
"If M is true and Z is false, then M NOR Z is true",0
"If X is false and N is false, then X NOR N is true",1
"If B is false and U is false, then B NOR U is true",1
"If V is true and J is true, then V NOR J is true",0
"If K is false and G is false, then K NOR G is true",1
"If H is true and K is true, then H NOR K is true",0
"If Q is false and F is false, then Q NOR F is true",1
