statement,label
"If P is true and H is true, then P implies H is true",1
"If U is false and B is true, then U implies B is true",1
"If H is false and G is true, then H implies G is true",1
"If N is false and Y is true, then N implies Y is true",1
"If C is true and I is true, then C implies I is true",1
"If H is true and D is true, then H implies D is true",1
"If K is false and Q is false, then K implies Q is true",1
"If H is true and X is true, then H implies X is true",1
"If S is true and Z is false, then S implies Z is true",0
"If I is false and Y is true, then I implies Y is true",1
"If A is true and L is false, then A implies L is true",0
"If Y is true and R is false, then Y implies R is true",0
"If D is true and C is false, then D implies C is true",0
"If E is true and B is false, then E implies B is true",0
"If T is true and W is false, then T implies W is true",0
"If T is false and E is false, then T implies E is true",1
"If L is true and P is false, then L implies P is true",0
"If W is false and S is false, then W implies S is true",1
"If A is false and I is true, then A implies I is true",1
"If A is false and F is true, then A implies F is true",1
"If H is true and G is true, then H implies G is true",1
"If S is true and D is true, then S implies D is true",1
"If W is true and I is false, then W implies I is true",0
"If B is false and Y is true, then B implies Y is true",1
"If M is false and A is true, then M implies A is true",1
"If Y is false and S is true, then Y implies S is true",1
"If A is false and N is true, then A implies N is true",1
"If Y is false and B is false, then Y implies B is true",1
"If C is false and P is true, then C implies P is true",1
"If J is false and A is false, then J implies A is true",1
"If Y is true and L is false, then Y implies L is true",0
"If F is true and S is true, then F implies S is true",1
"If C is false and I is false, then C implies I is true",1
"If U is true and I is false, then U implies I is true",0
"If N is false and J is false, then N implies J is true",1
"If Z is false and A is true, then Z implies A is true",1
"If P is true and Z is true, then P implies Z is true",1
"If Z is true and U is false, then Z implies U is true",0
"If N is false and Q is true, then N implies Q is true",1
"If S is true and M is true, then S implies M is true",1
"If H is false and D is true, then H implies D is true",1
"If O is false and R is false, then O implies R is true",1
"If S is true and T is true, then S implies T is true",1
"If C is true and A is false, then C implies A is true",0
"If J is true and H is true, then J implies H is true",1
"If C is true and X is false, then C implies X is true",0
"If F is true and O is false, then F implies O is true",0
"If V is true and D is false, then V implies D is true",0
"If F is true and B is true, then F implies B is true",1
"If F is true and V is false, then F implies V is true",0
"If R is false and C is false, then R implies C is true",1
"If Q is false and Z is false, then Q implies Z is true",1
"If O is false and R is false, then O implies R is true",1
"If D is false and U is false, then D implies U is true",1
"If U is true and Y is false, then U implies Y is true",0
"If V is true and N is true, then V implies N is true",1
"If F is false and B is true, then F implies B is true",1
"If T is false and K is false, then T implies K is true",1
"If Q is false and N is false, then Q implies N is true",1
"If Q is true and D is true, then Q implies D is true",1
"If R is true and O is false, then R implies O is true",0
"If T is true and Y is true, then T implies Y is true",1
"If N is false and Y is false, then N implies Y is true",1
"If Z is false and P is false, then Z implies P is true",1
"If C is true and E is true, then C implies E is true",1
"If Q is false and U is false, then Q implies U is true",1
"If Y is false and X is false, then Y implies X is true",1
"If R is false and K is false, then R implies K is true",1
"If R is true and I is true, then R implies I is true",1
"If E is true and C is false, then E implies C is true",0
"If D is true and Y is false, then D implies Y is true",0
"If Y is true and V is false, then Y implies V is true",0
"If N is true and Y is false, then N implies Y is true",0
"If B is true and N is true, then B implies N is true",1
"If L is false and W is true, then L implies W is true",1
"If N is true and K is false, then N implies K is true",0
"If T is true and W is true, then T implies W is true",1
"If V is false and N is false, then V implies N is true",1
"If L is true and V is true, then L implies V is true",1
"If P is false and M is false, then P implies M is true",1
"If A is false and X is true, then A implies X is true",1
"If Y is true and Z is false, then Y implies Z is true",0
"If C is false and H is false, then C implies H is true",1
"If X is true and G is true, then X implies G is true",1
"If W is true and R is true, then W implies R is true",1
"If V is true and F is true, then V implies F is true",1
"If N is true and A is false, then N implies A is true",0
"If H is false and V is true, then H implies V is true",1
"If U is true and O is true, then U implies O is true",1
"If K is false and M is false, then K implies M is true",1
"If H is true and V is true, then H implies V is true",1
"If H is false and P is false, then H implies P is true",1
"If E is false and G is false, then E implies G is true",1
"If L is false and N is true, then L implies N is true",1
"If J is false and I is true, then J implies I is true",1
"If W is true and B is false, then W implies B is true",0
"If R is false and O is false, then R implies O is true",1
"If M is true and A is false, then M implies A is true",0
"If H is true and O is false, then H implies O is true",0
"If Q is true and B is true, then Q implies B is true",1
"If P is true and Y is false, then P implies Y is true",0
"If Z is true and E is true, then Z implies E is true",1
"If F is false and J is true, then F implies J is true",1
"If U is false and J is true, then U implies J is true",1
"If P is true and B is false, then P implies B is true",0
"If T is true and D is true, then T implies D is true",1
"If G is true and K is false, then G implies K is true",0
"If F is false and H is false, then F implies H is true",1
"If B is false and P is true, then B implies P is true",1
"If D is true and V is false, then D implies V is true",0
"If C is true and V is false, then C implies V is true",0
"If P is false and C is true, then P implies C is true",1
"If O is false and E is false, then O implies E is true",1
"If W is true and D is true, then W implies D is true",1
"If J is false and X is true, then J implies X is true",1
"If S is true and O is true, then S implies O is true",1
"If Z is true and B is false, then Z implies B is true",0
"If B is true and V is true, then B implies V is true",1
"If E is true and G is false, then E implies G is true",0
"If G is true and A is false, then G implies A is true",0
"If H is true and W is false, then H implies W is true",0
"If U is true and E is false, then U implies E is true",0
"If U is false and L is true, then U implies L is true",1
"If E is true and G is false, then E implies G is true",0
"If Y is false and H is false, then Y implies H is true",1
"If S is true and Q is true, then S implies Q is true",1
"If G is true and T is false, then G implies T is true",0
"If Q is false and L is true, then Q implies L is true",1
"If Q is false and C is false, then Q implies C is true",1
"If C is false and O is true, then C implies O is true",1
"If R is true and I is true, then R implies I is true",1
"If B is false and S is true, then B implies S is true",1
"If J is true and R is false, then J implies R is true",0
"If T is false and H is true, then T implies H is true",1
"If L is true and J is true, then L implies J is true",1
"If R is true and Q is true, then R implies Q is true",1
"If E is true and R is true, then E implies R is true",1
"If C is true and E is true, then C implies E is true",1
"If B is true and F is true, then B implies F is true",1
"If T is false and D is true, then T implies D is true",1
"If M is true and V is false, then M implies V is true",0
"If U is true and T is true, then U implies T is true",1
"If N is true and U is false, then N implies U is true",0
"If I is false and D is true, then I implies D is true",1
"If Q is false and F is true, then Q implies F is true",1
"If E is false and X is true, then E implies X is true",1
"If O is true and C is false, then O implies C is true",0
"If C is true and A is true, then C implies A is true",1
"If D is true and L is true, then D implies L is true",1
"If E is true and M is true, then E implies M is true",1
"If T is false and A is false, then T implies A is true",1
"If D is true and R is false, then D implies R is true",0
"If Q is false and L is true, then Q implies L is true",1
"If H is true and M is false, then H implies M is true",0
"If I is true and C is false, then I implies C is true",0
"If N is false and J is true, then N implies J is true",1
"If C is true and R is false, then C implies R is true",0
"If U is false and R is false, then U implies R is true",1
"If Q is true and D is true, then Q implies D is true",1
"If S is false and C is false, then S implies C is true",1
"If S is true and V is false, then S implies V is true",0
"If L is true and P is true, then L implies P is true",1
"If I is false and Y is false, then I implies Y is true",1
"If R is false and V is true, then R implies V is true",1
"If V is true and A is false, then V implies A is true",0
"If G is true and I is false, then G implies I is true",0
"If R is true and V is false, then R implies V is true",0
"If B is false and W is false, then B implies W is true",1
"If F is false and K is true, then F implies K is true",1
"If F is false and K is true, then F implies K is true",1
"If O is false and S is false, then O implies S is true",1
"If S is true and D is false, then S implies D is true",0
"If Z is false and I is false, then Z implies I is true",1
"If J is false and Z is false, then J implies Z is true",1
"If G is false and D is true, then G implies D is true",1
"If G is true and Z is false, then G implies Z is true",0
"If F is true and P is true, then F implies P is true",1
"If U is true and N is false, then U implies N is true",0
"If Z is true and J is true, then Z implies J is true",1
"If S is true and F is true, then S implies F is true",1
"If T is false and P is false, then T implies P is true",1
"If J is false and O is true, then J implies O is true",1
"If H is false and A is true, then H implies A is true",1
"If D is false and N is false, then D implies N is true",1
"If G is true and T is false, then G implies T is true",0
"If P is true and I is true, then P implies I is true",1
"If D is false and R is false, then D implies R is true",1
"If U is true and J is true, then U implies J is true",1
"If N is false and O is true, then N implies O is true",1
"If J is true and K is false, then J implies K is true",0
"If J is false and L is true, then J implies L is true",1
"If Y is true and D is false, then Y implies D is true",0
"If H is true and M is true, then H implies M is true",1
"If D is false and M is false, then D implies M is true",1
"If H is false and X is false, then H implies X is true",1
"If Y is false and J is true, then Y implies J is true",1
